,,,Coverage,Coverage,Coverage,Average width,Average width,Average width,Spearman Correlation,Spearman Correlation,Spearman Correlation
,,,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99
GP,0.5,1,0.995,0.995,1.0,7.991658039484203,9.522647898572636,12.5148807314834,0.6072576917249809,0.6072576917249809,0.6072576917249809
GP,1.5,1,1.0,1.0,1.0,0.4179910928519808,0.49806710726400055,0.6545711350535423,0.567760226865665,0.567760226865665,0.567760226865665
GP,2.5,1,1.0,1.0,1.0,0.03879630190522891,0.04622864504273258,0.06075473809911705,0.5046152295205315,0.5046152295205315,0.5046152295205315
J+,0.5,1,0.915,0.965,0.99,0.8750237467194659,1.8726766112260176,7.466174040911175,0.11831368710624257,-0.08598035249836712,0.08933424425083727
J+,1.5,1,0.935,0.975,0.99,0.039095971496132476,0.1027467348116473,0.35421009786388424,0.22990337817026688,0.30870285812260906,0.032752868248093474
J+,2.5,1,0.955,0.975,0.99,0.0057516904544721425,0.012519767240134608,0.034220204075649796,0.8896191258293966,0.45011818543693094,0.46874581620584155
J-minmnax,0.5,1,0.93,0.965,0.99,1.0485114488586147,2.047842624141788,7.638644142541004,0.7366171518526363,0.7366171518526363,0.7366171518526363
J-minmnax,1.5,1,0.97,0.98,0.99,0.05255925644382089,0.11625533083439833,0.3677441824618124,0.8545820476829609,0.8545820476829609,0.8545820476829609
J-minmnax,2.5,1,0.98,0.985,0.99,0.01022885483247478,0.017231102230351354,0.03851981808982808,0.8780988680760334,0.8780988680760334,0.8780988680760334
J+GP,0.5,1,0.92,0.955,0.99,0.79676374201991,1.6655203018576565,6.55413324501126,0.6062594360193366,0.6046433556381986,0.6027026627063393
J+GP,1.5,1,0.935,0.975,0.995,0.037330959441574656,0.08275571760914378,0.2968980026241664,0.5772280592134481,0.5688103845892643,0.5690717612253254
J+GP,2.5,1,0.955,0.97,1.0,0.005464807115686269,0.008735040872302592,0.023849987397364582,0.5787422418304381,0.5702782577994775,0.5370811380742821
J-minmax-GP,0.5,1,0.935,0.965,0.99,0.9707364430635681,1.840236055797261,6.742399851105553,0.8163775521071126,0.776809530159152,0.6779705775312153
J-minmax-GP,1.5,1,0.975,0.98,0.995,0.05088238361012134,0.09654186540463228,0.31061344121803136,0.7590495115563356,0.7025738266892007,0.6268504207798387
J-minmax-GP,2.5,1,0.985,0.985,1.0,0.010364215067842734,0.013439308905520884,0.02881441249862509,0.745255922455246,0.7042517107309877,0.6212937519136086
