,,,Coverage,Coverage,Coverage,Average width,Average width,Average width,Spearman Correlation,Spearman Correlation,Spearman Correlation
,,,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99
GP,0.5,1.0,0.9761904761904762,0.9761904761904762,0.9761904761904762,52.280951874442074,62.29659653138329,81.87160586757228,0.6764239028198982,0.6732013323617466,0.6760285190286727
GP,1.5,1.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,17.82540586495738,21.240281160991266,27.914461215438152,0.6804496897665566,0.6806096645199028,0.6785061776099897
GP,2.5,1.0,0.7619047619047619,0.8095238095238095,0.8809523809523809,37.08633088395785,44.191088897077535,58.076935410391734,0.7767130627987964,0.7721734126242196,0.7731738848114655
J+,0.5,1.0,0.8571428571428571,0.9047619047619048,0.9761904761904762,20.933663305159047,37.41205228901928,315.60958322220347,-0.3968429987745075,,
J+,1.5,1.0,0.9047619047619048,0.9761904761904762,0.9761904761904762,17.16294686902344,31.336496926902708,216.92279735711725,0.1919064507024117,0.0056007555875284085,
J+,2.5,1.0,0.9523809523809523,0.9761904761904762,0.9761904761904762,27.09867860455561,47.270800645543986,529.6457597665216,0.46709899969567237,0.300137357809355,0.7751412835758571
J-minmnax,0.5,1.0,0.8809523809523809,0.9285714285714286,0.9761904761904762,38.70715098126303,54.98403210547716,335.0420378539984,0.798119056216301,0.8006873313911862,0.8003531746914341
J-minmnax,1.5,1.0,0.9761904761904762,0.9761904761904762,0.9761904761904762,34.26119281764253,48.49467700613323,231.03473474361206,0.7114881337967881,0.7166565601952001,0.7137830262617858
J-minmnax,2.5,1.0,0.9761904761904762,0.9761904761904762,0.9761904761904762,65.84519140959503,81.74815539527096,563.2943825740944,0.7625268174933295,0.7656697170442986,0.7616702011510098
J+GP,0.5,0.5,0.8333333333333334,0.9047619047619048,0.9761904761904762,16.404369313125446,28.943489821037456,188.24697069646655,0.6483693782685755,0.7061437571450789,0.6634852114645996
J+GP,0.5,1.0,0.8095238095238095,0.9285714285714286,0.9761904761904762,14.650383804988643,27.97162399555478,120.81252028838978,0.6874614213615404,0.6808102986443421,0.6728629968326718
J+GP,0.5,1.5,0.8333333333333334,0.9047619047619048,0.9761904761904762,15.649228111559172,25.232399155596074,84.21059265228737,0.6697168764309839,0.6776853437895323,0.6717696326143537
J+GP,1.5,0.5,0.8809523809523809,0.9047619047619048,0.9761904761904762,10.933495947120464,20.778912445877506,64.55783006745133,0.678789969133957,0.6545492563229746,0.6951477177004421
J+GP,1.5,1.0,0.8095238095238095,0.9047619047619048,0.9523809523809523,15.073590686367451,23.452386439038452,55.880318623983406,0.6915636499799599,0.6860255309310543,0.7265459737658787
J+GP,1.5,1.5,0.7857142857142857,0.8571428571428571,0.9523809523809523,67.99976771067936,89.01806240926298,148.05951626243655,0.6815386549076522,0.6948574830960488,0.7144627467804389
J+GP,2.5,0.5,0.9047619047619048,0.9761904761904762,0.9761904761904762,21.407824501720555,33.22564570576299,129.4195403447839,0.7628318097188929,0.7428070811021595,0.7617755364122759
J+GP,2.5,1.0,0.8809523809523809,0.9285714285714286,1.0,55.82884918953736,77.0637715158936,143.39028573870544,0.7581323172176259,0.774514589700552,0.7537038718024768
J+GP,2.5,1.5,0.9523809523809523,0.9523809523809523,1.0,853.8873725680993,1515.0155235681925,4288.818985853561,0.754730762766658,0.7644238251521488,0.761467848968931
J-minmax-GP,0.5,0.5,0.8809523809523809,0.9523809523809523,0.9761904761904762,34.21904880477963,46.47872083545957,207.3260697975278,0.8116594197557642,0.7903508669602864,0.6935680854742203
J-minmax-GP,0.5,1.0,0.8809523809523809,0.9523809523809523,0.9761904761904762,32.37132378155096,45.81253634233431,139.07248873522772,0.799077915932963,0.7778948922722838,0.6948018516300846
J-minmax-GP,0.5,1.5,0.9285714285714286,0.9523809523809523,0.9761904761904762,33.35118832034883,42.9036521123082,101.6355708132659,0.7806350214226476,0.7700949973921039,0.7070537643233052
J-minmax-GP,1.5,0.5,0.9285714285714286,0.9761904761904762,0.9761904761904762,28.437949176559208,38.97066469009083,81.04597623258904,0.708901825466083,0.720911772002968,0.7009099527839011
J-minmax-GP,1.5,1.0,0.9285714285714286,0.9285714285714286,0.9761904761904762,32.064201519347115,40.894298046412274,72.68277056186687,0.6978564342694389,0.7110866673001449,0.7165792388054372
J-minmax-GP,1.5,1.5,0.9285714285714286,0.9523809523809523,1.0,85.79427775154652,106.73046525971051,160.22891443317292,0.7133944577130134,0.7152606315691843,0.7077556551883092
J-minmax-GP,2.5,0.5,0.9761904761904762,0.9761904761904762,1.0,60.08846151335956,72.39394621861156,167.67654143844408,0.7661581336471018,0.773750626060866,0.773685241249032
J-minmax-GP,2.5,1.0,1.0,1.0,1.0,102.7469273766047,120.94670612763478,184.70461130684782,0.7771306912883931,0.7897868735731841,0.7712497068708949
J-minmax-GP,2.5,1.5,0.9761904761904762,1.0,1.0,902.6595810766082,1563.4929372232905,4337.696840799526,0.7625429028829518,0.7643644315955667,0.7597633689160554
