,,,Coverage,Coverage,Coverage,Average width,Average width,Average width,Spearman Correlation,Spearman Correlation,Spearman Correlation
,,,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99
GP,0.5,1,0.995,1.0,1.0,0.251622340874347,0.2998265120607785,0.39403883022281533,0.437023666888476,0.437023666888476,0.437023666888476
GP,1.5,1,0.995,1.0,1.0,0.04759455705791689,0.05671241268230236,0.0745327442821934,0.45931786506700994,0.45931786506700994,0.45931786506700994
GP,2.5,1,0.995,1.0,1.0,0.013294428545043136,0.01584128868148492,0.020818982345393436,0.4463047530129727,0.4463047530129727,0.4463047530129727
J+,0.5,1,0.93,0.975,0.99,0.07329869091089579,0.12037593422078707,0.2214172848195466,-0.24452975767581048,-0.13786693008636125,0.13268409429097905
J+,1.5,1,0.925,0.985,0.995,0.011585115136882842,0.022303727311770993,0.062456802539178326,-0.1941730082314814,0.2433295926198983,-0.04816732637648491
J+,2.5,1,0.915,0.97,0.995,0.0037229813382709414,0.006984458288749249,0.01629571188249683,0.07154572781781493,0.14112672991034794,-0.036078693550924884
J-minmnax,0.5,1,0.935,0.975,0.99,0.08330646772187653,0.13024439830877804,0.23105567007379677,0.7136855604291733,0.7136855604291733,0.7136855604291733
J-minmnax,1.5,1,0.95,0.99,0.995,0.014740980182340619,0.025423870394340638,0.06565800590176847,0.7086139109641516,0.7086139109641516,0.7086139109641516
J-minmnax,2.5,1,0.97,0.995,0.995,0.004961981792914367,0.008201607187503108,0.017541911125103,0.6943131421237231,0.6943131421237231,0.6943131421237231
J+GP,0.5,1,0.92,0.97,0.99,0.06783034541700704,0.10543498285960026,0.19335150314682722,0.4380568535202715,0.4311537936060169,0.43803806797089284
J+GP,1.5,1,0.915,0.965,0.995,0.009281514726819432,0.015712078647611066,0.03586794052790951,0.4658893441812143,0.4588484951700774,0.46601298300974897
J+GP,2.5,1,0.915,0.965,0.99,0.0029713582520574954,0.004562450605742619,0.008799037861563153,0.45038126664214484,0.4481074565798202,0.45302009459167264
J-minmax-GP,0.5,1,0.94,0.975,0.99,0.07760687456621204,0.11535924224892721,0.20318079689007731,0.7105184962115859,0.6864289146002237,0.6244847052849442
J-minmax-GP,1.5,1,0.945,0.985,0.995,0.012415056138980267,0.018881643210056177,0.038988814477143995,0.7092353154157083,0.6633865177946054,0.5879254538873446
J-minmax-GP,2.5,1,0.975,0.985,0.995,0.0041954637961794826,0.005787767685881722,0.010021055059335591,0.6419706394400776,0.5980943469839057,0.5485916716941581
