,,,Coverage,Coverage,Coverage,Average width,Average width,Average width,Spearman Correlation,Spearman Correlation,Spearman Correlation
,,,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99
GP,0.5,1.0,0.925,0.9583333333333334,0.9833333333333333,0.16094521406356274,0.19177805117730326,0.2520390822976897,0.2583573379467518,0.2583573379467518,0.2583573379467518
GP,1.5,1.0,0.8666666666666667,0.9166666666666666,0.975,0.11914865326799948,0.14197437716360356,0.18658595970932257,0.25663576642428354,0.25663576642428354,0.25663576642428354
GP,2.5,1.0,0.8416666666666667,0.9,0.95,0.10827447176630467,0.1290169907096037,0.16955706734758222,0.24057234572900524,0.24057234572900524,0.24057234572900524
J+,0.5,1.0,0.875,0.9416666666666667,0.9916666666666667,0.12837682740520043,0.18243865788519104,0.3050929991319872,-0.21535626547411188,0.011851909966653902,0.09630607537874485
J+,1.5,1.0,0.8833333333333333,0.975,0.9916666666666667,0.133891079905183,0.17073051916720686,0.28791510684034916,0.13222666930712668,-0.15510114108508175,-0.06976354675241518
J+,2.5,1.0,0.8916666666666667,0.9416666666666667,0.9833333333333333,0.1357908810636007,0.17547751228025366,0.2815335539880978,0.08438662299932387,0.19865321481521866,0.0007998640771776931
J-minmax,0.5,1.0,0.9,0.95,0.9916666666666667,0.14416328568548084,0.19659480528715564,0.3212175145108007,0.1317870877550118,0.1317870877550118,0.1317870877550118
J-minmax,1.5,1.0,0.9666666666666667,0.975,0.9916666666666667,0.15793446631358612,0.19478253474902282,0.30909059937261535,0.28289499440904053,0.28289499440904053,0.28289499440904053
J-minmax,2.5,1.0,0.9416666666666667,0.975,0.9916666666666667,0.16396916369958373,0.20132458628258068,0.3102054576207362,0.23813430531888882,0.23813430531888882,0.23813430531888882
J+GP,0.5,0.5,0.875,0.9416666666666667,0.9833333333333333,0.12491909762471333,0.1787159931763823,0.2990959417353654,0.2607787378751818,0.2694521312470459,0.25343403050305763
J+GP,0.5,1.0,0.875,0.9416666666666667,0.9833333333333333,0.12179964648212185,0.17497860710013768,0.2923949864505636,0.2520358406014937,0.25446047663721005,0.25668628541403826
J+GP,0.5,1.5,0.8833333333333333,0.95,0.9833333333333333,0.12019389866003749,0.17178948313010997,0.2774172837364948,0.25701915344993687,0.2691449544360442,0.2539050532809179
J+GP,1.5,0.5,0.9,0.975,0.9833333333333333,0.1304868076669517,0.15841736088543554,0.2763644692862461,0.2569379092890119,0.2503083384219797,0.2606317190983298
J+GP,1.5,1.0,0.875,0.9583333333333334,0.9833333333333333,0.12469720792113538,0.15788062692190544,0.2705304026827437,0.25395687634743824,0.26443508012685174,0.2590419026431656
J+GP,1.5,1.5,0.8833333333333333,0.9416666666666667,0.9833333333333333,0.1261532368445655,0.1660341218423191,0.27081614422202566,0.2579940463537647,0.2556441690585457,0.2607329196725088
J+GP,2.5,0.5,0.8916666666666667,0.9666666666666667,0.9833333333333333,0.13012047938421728,0.16640621679075493,0.2605173242916668,0.23979451490674328,0.24971527034922525,0.24512604730521
J+GP,2.5,1.0,0.9,0.9583333333333334,0.9833333333333333,0.13192659407308713,0.1716803928801107,0.23846693731826019,0.24263174734316212,0.24758761760660827,0.2300040812390137
J+GP,2.5,1.5,0.8916666666666667,0.95,0.9833333333333333,0.14299712659644587,0.17743763144395294,0.23868976868490527,0.23627362017471842,0.24118189542867202,0.23733570908386734
J-minmax-GP,0.5,0.5,0.8916666666666667,0.95,0.9916666666666667,0.13979210253200952,0.19346605441523343,0.3150431100533202,0.2251344117549208,0.2449826386716443,0.2551710086756282
J-minmax-GP,0.5,1.0,0.8833333333333333,0.9583333333333334,0.9916666666666667,0.13707852660494438,0.18988110422200197,0.3094545853669512,0.2525244426728972,0.26106681247905367,0.2722986337538054
J-minmax-GP,0.5,1.5,0.8916666666666667,0.95,0.9833333333333333,0.13542164754057487,0.18662484938462395,0.2916473189363497,0.26675344276611723,0.26861769971525384,0.27321016897109096
J-minmax-GP,1.5,0.5,0.9583333333333334,0.975,0.9916666666666667,0.1543347148545027,0.18257138702415954,0.30141833443066857,0.33246667146606257,0.32879962055630507,0.3216901956644868
J-minmax-GP,1.5,1.0,0.9333333333333333,0.975,0.9916666666666667,0.14973915320097558,0.18195674560854955,0.297125045074666,0.31702421817114984,0.3179989783348637,0.30518605944252075
J-minmax-GP,1.5,1.5,0.9416666666666667,0.9833333333333333,0.9916666666666667,0.1502951814250439,0.19162275920791733,0.29629238089612997,0.3160164247095489,0.3045986029255418,0.29176747372404876
J-minmax-GP,2.5,0.5,0.95,0.975,0.9916666666666667,0.15714147589798702,0.1937289456274817,0.28910539908819466,0.2970768410850957,0.29871881865377004,0.2841604601002085
J-minmax-GP,2.5,1.0,0.9416666666666667,0.9833333333333333,0.9833333333333333,0.16006746174412873,0.20200014086111587,0.26495673459608704,0.2854550680342545,0.27583797587148234,0.2725135181325571
J-minmax-GP,2.5,1.5,0.9333333333333333,0.975,0.9833333333333333,0.1719399687261984,0.20537740176713368,0.2656161503636488,0.2756961248022682,0.26557600462119163,0.2638642265154758
