,,,Coverage,Coverage,Coverage,Average width,Average width,Average width,Spearman Correlation,Spearman Correlation,Spearman Correlation
,,,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99
GP,0.5,1.0,0.9416666666666667,0.975,0.9833333333333333,0.17961811636786001,0.21402818663226633,0.281280717024093,0.28854072500792705,0.28311055998902723,0.29060180769597743
GP,1.5,1.0,0.95,0.9583333333333334,0.9833333333333333,0.15345167629662673,0.1828489501926729,0.2403042544375973,0.2779050238422906,0.2787257677922688,0.2810306189789274
GP,2.5,1.0,0.95,0.9666666666666667,0.9833333333333333,0.14938745648516966,0.1780061335886973,0.23393971456919718,0.27120167363576647,0.27065209326227985,0.27063691058940065
J+,0.5,1.0,0.8833333333333333,0.95,0.9916666666666667,0.135791850412651,0.19510095353667953,0.3234702841576408,0.16641848449588123,-0.03499656884274154,-0.023315899280696852
J+,1.5,1.0,0.8916666666666667,0.9583333333333334,0.9916666666666667,0.13220788823854637,0.17580401352415825,0.30965922220148434,-0.13174105903525188,0.07539914324364094,-0.031022006108494933
J+,2.5,1.0,0.9,0.9583333333333334,0.9916666666666667,0.1301891007846542,0.17508011989628272,0.3024837782423032,-0.031165860029815126,-0.055647505319874786,0.023727565999626537
J+GP,0.5,0.5,0.9,0.95,0.9916666666666667,0.13702620290613982,0.18655692819807335,0.3176745607932115,0.2691823861135011,0.24028136276966444,0.26340876066172225
J+GP,0.5,1.0,0.9,0.95,0.9916666666666667,0.13628590981148267,0.18477816759293678,0.30797627589354604,0.26243014337122733,0.28130347441697084,0.27402057277452807
J+GP,0.5,1.5,0.8833333333333333,0.95,0.9916666666666667,0.1351599429590199,0.18560736431016853,0.3084184897732619,0.2796249273400958,0.28772217084835644,0.270099459468412
J+GP,1.5,0.5,0.8916666666666667,0.9583333333333334,0.9916666666666667,0.13170082350673684,0.1768182787909622,0.30179489547826915,0.2638029614892277,0.2857446434615615,0.2602779646394519
J+GP,1.5,1.0,0.8916666666666667,0.9583333333333334,0.9916666666666667,0.12927411934464506,0.17015656938223706,0.2865361545265884,0.25810017730537577,0.2897794560409995,0.2747718491602017
J+GP,1.5,1.5,0.9,0.9583333333333334,0.9833333333333333,0.1258120252586049,0.16558642718360445,0.27190167711769464,0.26742206158944687,0.2726405815879656,0.2704452656821409
J+GP,2.5,0.5,0.9,0.9583333333333334,0.9916666666666667,0.1288398595887258,0.1708026100124776,0.2961015773832069,0.26925528369232965,0.2754558605869031,0.26882010765418096
J+GP,2.5,1.0,0.9083333333333333,0.9583333333333334,0.9916666666666667,0.12708240451890987,0.16646517247595277,0.27892268583545743,0.2585881568256293,0.2595329285326087,0.2642641265932622
J+GP,2.5,1.5,0.9083333333333333,0.9583333333333334,0.9833333333333333,0.12484081392514239,0.1620955919066837,0.2719416748841364,0.2611538578911833,0.27049026678559923,0.27476990918744454
J-minmax-GP,0.5,0.5,0.9,0.9666666666666667,0.9916666666666667,0.15068789473117306,0.19959274058058601,0.3317133166714008,0.16101850520844524,0.17400313121404426,0.22201287171902112
J-minmax-GP,0.5,1.0,0.9,0.9666666666666667,0.9916666666666667,0.14959969316812655,0.19837149869054332,0.32074946065461385,0.20194245739055602,0.23416680277346028,0.25161091047680445
J-minmax-GP,0.5,1.5,0.9,0.975,0.9916666666666667,0.14883241958456322,0.1993802240601975,0.32336225591996626,0.23199184220169713,0.24877470384287567,0.2726157178666367
J-minmax-GP,1.5,0.5,0.9333333333333333,0.975,0.9916666666666667,0.14721339810912534,0.19294596758260474,0.3175349801348838,0.22106952488268847,0.23471285531842923,0.2486045511506276
J-minmax-GP,1.5,1.0,0.9416666666666667,0.9666666666666667,0.9916666666666667,0.14425391062463228,0.18532786095660878,0.30023850553553566,0.24633940142883193,0.2500928686166516,0.2681850398944094
J-minmax-GP,1.5,1.5,0.9333333333333333,0.975,0.9916666666666667,0.14123027857805162,0.18102740438472378,0.2843864376764689,0.25311417502733347,0.25631541717021983,0.2731100601337117
J-minmax-GP,2.5,0.5,0.9416666666666667,0.9666666666666667,0.9916666666666667,0.14355776696250408,0.18481354425569319,0.3123948966180758,0.2435537816044624,0.2480409918834072,0.25548322567080667
J-minmax-GP,2.5,1.0,0.9416666666666667,0.975,0.9916666666666667,0.14219228359993324,0.18158658621604004,0.2919434984348834,0.2503299488344506,0.2530683113090451,0.2592669836725693
J-minmax-GP,2.5,1.5,0.9333333333333333,0.975,0.9916666666666667,0.1391461973230202,0.1765292934503219,0.2850768107456189,0.25359208689262847,0.2626607995969396,0.26804657832861084
