,,,Coverage,Coverage,Coverage,Average width,Average width,Average width,Spearman Correlation,Spearman Correlation,Spearman Correlation
,,,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99
GP,0.5,1.0,0.9416666666666667,0.9666666666666667,0.975,0.1808397633397986,0.21548386878391151,0.2831938076586337,0.12195926915231066,0.12195926915231066,0.12195926915231066
GP,1.5,1.0,0.9333333333333333,0.9666666666666667,0.9833333333333333,0.15524696372235186,0.184988167104539,0.24311566202043883,0.1154514910976796,0.1154514910976796,0.1154514910976796
GP,2.5,1.0,0.9166666666666666,0.9666666666666667,0.9833333333333333,0.15148610301150806,0.18050682516423083,0.23722618038704166,0.1304801654178587,0.1304801654178587,0.1304801654178587
J+,0.5,1.0,0.8583333333333333,0.9416666666666667,0.9833333333333333,0.1374285008559811,0.19056227975280446,0.3191783237570676,0.036204983489580934,0.1290486443270296,-0.05262265150622055
J+,1.5,1.0,0.875,0.9583333333333334,0.9916666666666667,0.1359518530578561,0.17380941980668313,0.31743483693940144,-0.023734587996011983,-0.04675808194789759,0.05212794103232538
J+,2.5,1.0,0.8916666666666667,0.95,0.9916666666666667,0.1360980712837719,0.1754380972033633,0.3121280565623626,-0.041803880263067604,-0.03937705094738523,-0.051727159056043755
J-minmax,0.5,1.0,0.9,0.9583333333333334,0.9833333333333333,0.1512821299383378,0.2034698974300938,0.3331934112996847,0.06499750825961452,0.06499750825961452,0.06499750825961452
J-minmax,1.5,1.0,0.9166666666666666,0.9666666666666667,0.9916666666666667,0.15016735222653577,0.18934380241125906,0.3351001864703956,0.13609509780103216,0.13609509780103216,0.13609509780103216
J-minmax,2.5,1.0,0.9333333333333333,0.975,0.9916666666666667,0.15092749328911115,0.19110441448061574,0.32891899475984443,0.1668225481305987,0.1668225481305987,0.1668225481305987
J+GP,0.5,0.5,0.8666666666666667,0.95,0.9916666666666667,0.1373945050127513,0.1840622519399327,0.31854857638882605,0.1261781320195213,0.15864193097249982,0.1505749012152089
J+GP,0.5,1.0,0.8583333333333333,0.95,0.9916666666666667,0.13627984812984087,0.18280059036333957,0.31752469863775884,0.12337942172548633,0.13625144235792816,0.1394464468645573
J+GP,0.5,1.5,0.8583333333333333,0.9416666666666667,0.9916666666666667,0.13553324134478686,0.1809964009366722,0.3083486991153695,0.12673661109509948,0.11984054922702336,0.13242269254464803
J+GP,1.5,0.5,0.8916666666666667,0.95,0.9916666666666667,0.13590408618524202,0.17407636112241243,0.3053214759126727,0.11236173504724248,0.08365966992203189,0.1349612338456814
J+GP,1.5,1.0,0.8916666666666667,0.95,0.9833333333333333,0.13450866485854363,0.17062096334931892,0.28837901151063244,0.11522024835610178,0.11045597920890528,0.10655595160228742
J+GP,1.5,1.5,0.8916666666666667,0.9416666666666667,0.9833333333333333,0.13462367809519896,0.1666859416379437,0.2791464583288466,0.11374549763734208,0.11653392576906645,0.11265673428802314
J+GP,2.5,0.5,0.8916666666666667,0.95,0.9833333333333333,0.1346079540222505,0.172793274960107,0.29572107921952484,0.13171781607205113,0.07352777937431235,0.1263942810098013
J+GP,2.5,1.0,0.8916666666666667,0.95,0.9833333333333333,0.1337173341577294,0.16722379751472313,0.28003543536372855,0.12891306206893596,0.1275579046557295,0.11029439199302758
J+GP,2.5,1.5,0.8833333333333333,0.95,0.9833333333333333,0.13237306490929032,0.16693920447858507,0.27949107446052324,0.12967703708330544,0.12507047770005855,0.12501052804636528
J-minmax-GP,0.5,0.5,0.9083333333333333,0.9583333333333334,0.9916666666666667,0.15146782281061977,0.1972970110574172,0.33298111013215387,0.12920054690783087,0.1346039855770189,0.14992947257601205
J-minmax-GP,0.5,1.0,0.8916666666666667,0.9583333333333334,0.9916666666666667,0.14995569687908752,0.19645237918274258,0.33299269532063036,0.15139209952218935,0.1495795106992496,0.1500335302796636
J-minmax-GP,0.5,1.5,0.8833333333333333,0.95,0.9916666666666667,0.1493816221250647,0.19418658386168453,0.3226349176018756,0.1470067499965373,0.15186291087406845,0.15173382303166508
J-minmax-GP,1.5,0.5,0.925,0.9666666666666667,0.9916666666666667,0.1517811738609771,0.190367950861948,0.3210373715023824,0.14797033963822898,0.1580361750735012,0.1577777406694727
J-minmax-GP,1.5,1.0,0.9166666666666666,0.9666666666666667,0.9833333333333333,0.1499024052544605,0.18594024826752623,0.3034189413041583,0.15593575428992812,0.16456730949305878,0.1503936932452942
J-minmax-GP,1.5,1.5,0.9166666666666666,0.9666666666666667,0.9833333333333333,0.14995714952825476,0.18170949734925318,0.2936824988741264,0.15423836864710047,0.15954910054751986,0.14835581518660848
J-minmax-GP,2.5,0.5,0.9166666666666666,0.9666666666666667,0.9916666666666667,0.15013387296509637,0.18868179838702773,0.31056339350393347,0.17107820126432138,0.17629094453493874,0.1715975089135108
J-minmax-GP,2.5,1.0,0.9166666666666666,0.9666666666666667,0.9833333333333333,0.14882881051643368,0.18104337278422636,0.2936304797239303,0.1742842675856839,0.171863875319252,0.1618685393910699
J-minmax-GP,2.5,1.5,0.9166666666666666,0.975,0.9833333333333333,0.14750532463464847,0.18161606990554102,0.2933635816141596,0.16759378176201897,0.16939561699168018,0.1528340363169138
