,,,Coverage,Coverage,Coverage,Average width,Average width,Average width,Spearman Correlation,Spearman Correlation,Spearman Correlation
,,,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99
GP,0.5,1.0,0.9240506329113924,0.9493670886075949,1.0,8.882267816713542,10.583874903241691,13.909569428778756,0.07887299183260563,0.07887299183260563,0.07887299183260563
GP,1.5,1.0,0.9367088607594937,0.9493670886075949,1.0,8.65392829268565,10.311791578617154,13.55199132729167,0.19163394946348913,0.19163394946348913,0.19163394946348913
GP,2.5,1.0,0.9113924050632911,0.9493670886075949,1.0,8.661121944427904,10.32036334336334,13.563256535729435,0.212434487839704,0.212434487839704,0.212434487839704
J+,0.5,1.0,0.9113924050632911,0.9493670886075949,1.0,8.201997711462928,10.772682029374334,19.337394167097816,-0.19014538248936613,0.024696953477194618,0.13089019454631634
J+,1.5,1.0,0.9113924050632911,0.9367088607594937,1.0,8.017164705362555,10.755660319626282,19.76408697430485,0.16471534761377254,-0.0262437874505213,0.316061174695233
J+,2.5,1.0,0.9113924050632911,0.9493670886075949,1.0,8.080759349068538,10.77735803547757,19.71623302888895,0.13714130671238975,-0.20127985809572957,0.12394110489941146
J-minmax,0.5,1.0,0.9493670886075949,0.9746835443037974,1.0,9.279683285655274,11.841780671997014,20.385818422967308,0.40163522739909685,0.40163522739909685,0.40163522739909685
J-minmax,1.5,1.0,0.9493670886075949,0.9620253164556962,1.0,8.950863871997075,11.82981787834191,20.701159424953087,0.38746625411711544,0.38746625411711544,0.38746625411711544
J-minmax,2.5,1.0,0.9493670886075949,0.9620253164556962,1.0,8.985680509045494,11.764650746683213,20.57717489776926,0.39358432385981656,0.39358432385981656,0.39358432385981656
J+GP,0.5,0.5,0.8987341772151899,0.9493670886075949,1.0,8.1467223927443,10.810189101392035,18.589694828018573,0.097437825049986,0.0806778368335917,0.1294390909001189
J+GP,0.5,1.0,0.8860759493670886,0.9493670886075949,1.0,8.179141029799961,11.192960138372674,19.519434116829846,0.07965915091497441,0.0649102735724896,0.07303077949537606
J+GP,0.5,1.5,0.8860759493670886,0.9493670886075949,1.0,8.241576674022012,11.092272201612301,20.563868089346947,0.07407822849701665,0.0862197184073575,0.05092063809372355
J+GP,1.5,0.5,0.9113924050632911,0.9367088607594937,1.0,7.946024961879609,10.80080614844523,19.019408371115166,0.17023420791307892,0.17272893393589198,0.2587324393849759
J+GP,1.5,1.0,0.8987341772151899,0.9493670886075949,1.0,7.975549306630546,10.782589074734666,19.354317381955713,0.19233052436388365,0.23648086505801802,0.2270969581896459
J+GP,1.5,1.5,0.8987341772151899,0.9493670886075949,1.0,8.113173554326993,10.594481788921298,19.771343101729087,0.1897203545400288,0.2358137202139863,0.21079027123541927
J+GP,2.5,0.5,0.9113924050632911,0.9493670886075949,1.0,8.022390064491052,10.669343847094233,18.93546742383547,0.2289247166349943,0.08396855493656458,0.3250874261472772
J+GP,2.5,1.0,0.9113924050632911,0.9493670886075949,1.0,8.041203742490401,10.545595793855078,19.029986823094802,0.2162251428706944,0.20266881386814742,0.26429058101992187
J+GP,2.5,1.5,0.8987341772151899,0.9493670886075949,1.0,8.071221563282466,10.540829207560686,19.23907467278639,0.21880028134299573,0.2500336727197185,0.24701937518255948
J-minmax-GP,0.5,0.5,0.9493670886075949,0.9746835443037974,1.0,9.175962177006982,11.873097770590393,19.58769219371637,0.3647740914665006,0.336391137926655,0.27429864904070567
J-minmax-GP,0.5,1.0,0.9620253164556962,0.9620253164556962,1.0,9.220934015052938,12.336614493190204,20.59551983977725,0.29549961698445476,0.2421204393677457,0.18107438924618993
J-minmax-GP,0.5,1.5,0.9620253164556962,0.9620253164556962,1.0,9.274913103333608,12.138177787637641,21.70302062022676,0.24215615727476128,0.191467456859615,0.15424044934203257
J-minmax-GP,1.5,0.5,0.9493670886075949,0.9620253164556962,1.0,8.957156866006759,11.832639220688751,19.888500595093053,0.4086869693974337,0.3952936176823322,0.3535256825049883
J-minmax-GP,1.5,1.0,0.9493670886075949,0.9620253164556962,1.0,8.962618156163048,11.748195753001534,20.302350609298074,0.3786110198457298,0.3696464645057309,0.30054639286502194
J-minmax-GP,1.5,1.5,0.9493670886075949,0.9620253164556962,1.0,9.120354715656317,11.490411431513499,20.75329320410792,0.35092963487734125,0.33821373823505174,0.28203457317277053
J-minmax-GP,2.5,0.5,0.9493670886075949,0.9620253164556962,1.0,8.941774528821929,11.671453957760578,19.63343452446163,0.40007006965833625,0.3991215673726225,0.38015729051335106
J-minmax-GP,2.5,1.0,0.9493670886075949,0.9620253164556962,1.0,8.988095339037931,11.538809209117327,19.853049644231593,0.3870358328870712,0.3861878046436328,0.3367069012907667
J-minmax-GP,2.5,1.5,0.9493670886075949,0.9620253164556962,1.0,8.970187176522012,11.42918497864537,20.100158135164087,0.37790870946266797,0.3612600543500507,0.31134683286374804
