,,,Coverage,Coverage,Coverage,Average width,Average width,Average width,Spearman Correlation,Spearman Correlation,Spearman Correlation
,,,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99
GP,0.5,1.0,0.96,0.975,0.975,4.717088332398471,5.6207574290547315,7.386927417085648,0.4627411555407662,0.46055092464570574,0.4669384290097687
GP,1.5,1.0,0.915,0.94,0.95,2.0003983304090314,2.383621629361813,3.132609828503541,0.35123998710600035,0.3511776960473255,0.35157704829350483
GP,2.5,1.0,0.85,0.885,0.945,1.6317614752204435,1.944363723548741,2.555327085282954,0.28014107676746897,0.27745574792388705,0.276058194263434
J+,0.5,1.0,0.855,0.9,0.975,2.438039720216592,3.6104566062451466,7.390767858455766,0.2621134512624866,-0.18144013772496265,0.1514377457407756
J+,1.5,1.0,0.84,0.905,0.975,1.5290848132762154,2.0309651523175827,3.9427192348865048,-0.3559857186372133,0.035205491844990756,0.16956219757440277
J+,2.5,1.0,0.84,0.92,0.965,1.3546641318251063,1.836267130245925,3.110361922758385,-0.002358846452844964,0.2980694778387421,0.1995523544122893
J+GP,0.5,0.5,0.84,0.885,0.975,2.3464179608261566,3.3962806574774267,6.889400247409574,0.46352191999980397,0.4485575219224853,0.453152118583033
J+GP,0.5,1.0,0.845,0.895,0.975,2.3144844989572446,3.1980317779771847,6.366626547047913,0.4685343774146528,0.462674237447113,0.4580767395043209
J+GP,0.5,1.5,0.835,0.895,0.975,2.283611368500943,3.0465459490661,6.126203473288526,0.46558867562541056,0.4615208934974594,0.4632477929732995
J+GP,1.5,0.5,0.835,0.91,0.975,1.4378127890289563,2.001918850213335,3.5639802540451226,0.36381817340678174,0.3381164718885102,0.34853832605711405
J+GP,1.5,1.0,0.84,0.925,0.955,1.5226444524040872,2.057920614383378,3.21479233179905,0.3521310431701085,0.3446869461795111,0.34985513819435027
J+GP,1.5,1.5,0.865,0.925,0.97,1.7017335573227887,2.2698755626939247,3.7730601373057944,0.35622182608695363,0.3539776441235014,0.35318116994542503
J+GP,2.5,0.5,0.855,0.91,0.96,1.3266166520963227,1.7628242462034946,3.1023240322969134,0.28362575338592677,0.2771421434799398,0.29636209327622215
J+GP,2.5,1.0,0.845,0.905,0.97,1.509266277266226,2.0717086680157792,3.6885389298629296,0.277653747662824,0.2797040056846741,0.28673449131235884
J+GP,2.5,1.5,0.855,0.925,0.98,2.0455126476342325,2.9580856202378105,5.907823849199199,0.27829842402817123,0.2787757678481719,0.28269056144762855
J-minmax-GP,0.5,0.5,0.87,0.925,0.975,2.6738775394902574,3.7315482784378298,7.227929147292573,0.6599855843653595,0.6395919856940312,0.5838034479438918
J-minmax-GP,0.5,1.0,0.87,0.92,0.975,2.6376273260942207,3.5229475271692205,6.70022211171839,0.6183917239676464,0.5925400840219613,0.5483163377768713
J-minmax-GP,0.5,1.5,0.865,0.91,0.975,2.6114599563645515,3.3763659251898095,6.459824096951597,0.5880880943550678,0.5649861726114789,0.5296751911441591
J-minmax-GP,1.5,0.5,0.885,0.945,0.985,1.75324391726951,2.3349545159965333,3.8950237844657374,0.5958722901900464,0.5597753718467661,0.4907959011287177
J-minmax-GP,1.5,1.0,0.9,0.95,0.985,1.8515316096580658,2.3866344103556383,3.543113178994539,0.518782785746477,0.4833584138191915,0.4475215173419504
J-minmax-GP,1.5,1.5,0.92,0.95,0.995,2.0216915750730284,2.5913831722716965,4.093520784607645,0.48387680852706333,0.4565078325987562,0.4200776430482399
J-minmax-GP,2.5,0.5,0.91,0.955,0.985,1.700867636213585,2.149371291278067,3.4602946487367423,0.4789806069277461,0.4495873308249333,0.3961793097252451
J-minmax-GP,2.5,1.0,0.895,0.96,0.995,1.888696438885068,2.4472075994593245,4.051165869961266,0.41785327840366226,0.38259093015101653,0.3472450634824735
J-minmax-GP,2.5,1.5,0.92,0.97,0.995,2.422030257262972,3.3404706509507247,6.281998574740746,0.3811516595551467,0.35422093406604627,0.323082562848123
