,,,Coverage,Coverage,Coverage,Average width,Average width,Average width,Spearman Correlation,Spearman Correlation,Spearman Correlation
,,,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99
GP,0.5,1.0,0.9833333333333333,1.0,1.0,27.31271941158948,32.54511251908663,42.77152803582362,0.1980907126603871,0.1980907126603871,0.1980907126603871
GP,1.5,1.0,1.0,1.0,1.0,11.318841025486615,13.48723095671702,17.7252260735782,0.32565921851392465,0.32565921851392465,0.32565921851392465
GP,2.5,1.0,1.0,1.0,1.0,6.295770658971049,7.501873445953322,9.859132925922925,0.35094380997882124,0.35094380997882124,0.35094380997882124
J+,0.5,1.0,0.9166666666666666,0.9583333333333334,0.9916666666666667,12.921861682567426,18.22746531152437,32.35877508510735,-0.07924341135065517,-0.09242611898516724,-0.15500151981957475
J+,1.5,1.0,0.925,0.975,0.9916666666666667,5.660363498208246,8.522633375106587,14.083783340408027,0.12706420044463904,-0.045757038602840874,-0.2432354999396135
J+,2.5,1.0,0.9333333333333333,0.975,0.9916666666666667,3.337456845680897,5.005709066650727,7.9326551747224885,0.1879690208543471,-0.17226262516331084,-0.16126646814079293
J-minmnax,0.5,1.0,0.9166666666666666,0.9583333333333334,0.9916666666666667,14.230750891844233,19.544819293698918,33.79173269664401,0.309013723786822,0.309013723786822,0.309013723786822
J-minmnax,1.5,1.0,0.9416666666666667,0.9833333333333333,1.0,6.563292022897307,9.463472621786472,15.100930841873708,0.34880503376106736,0.34880503376106736,0.34880503376106736
J-minmnax,2.5,1.0,0.9666666666666667,0.9833333333333333,1.0,3.945324677960012,5.652869002609588,8.5759134211478,0.340586963699139,0.340586963699139,0.340586963699139
J+GP,0.5,0.5,0.9166666666666666,0.95,0.9916666666666667,12.329137299968057,17.442847718993008,30.772626220873107,0.20786737585418272,0.16898836748615204,0.15906276045073325
J+GP,0.5,1.0,0.9166666666666666,0.95,0.9916666666666667,11.9616638445644,16.730864170599048,28.457991122194855,0.1976873580760404,0.18827518116359648,0.20506957780764826
J+GP,0.5,1.5,0.9166666666666666,0.95,0.9916666666666667,11.940513960932192,16.224708874673947,26.33104686665691,0.2033167655106578,0.20346808987361245,0.20207269456095928
J+GP,1.5,0.5,0.9,0.975,0.9916666666666667,5.257384395273728,7.535923799830448,11.784622398367215,0.3209006395932576,0.3315949095791672,0.3250891009478832
J+GP,1.5,1.0,0.8916666666666667,0.9666666666666667,1.0,4.996979038802499,6.785560863506424,10.885376810887248,0.32588370714218523,0.32812517268626884,0.3205076188034618
J+GP,1.5,1.5,0.9,0.9583333333333334,1.0,4.931718673389635,6.330487672798497,10.710195822758992,0.32953822853332415,0.3279574596138285,0.32554976537840585
J+GP,2.5,0.5,0.9333333333333333,0.975,1.0,3.139564123370122,4.1294246224486,6.907068409033227,0.34796580039384256,0.3486591680159993,0.3369002255936663
J+GP,2.5,1.0,0.9333333333333333,0.9666666666666667,1.0,2.9933962124609943,3.8650381739387796,6.205320796848579,0.34858565393754726,0.3517711382511875,0.3475105620869342
J+GP,2.5,1.5,0.9083333333333333,0.9916666666666667,1.0,3.0119256801566325,3.819554709906146,5.800187129452074,0.3520090609486589,0.35113186416485437,0.35045600978185604
J-minmax-GP,0.5,0.5,0.9166666666666666,0.9583333333333334,0.9916666666666667,13.607064153815962,18.771430501298802,32.20335944610841,0.34753343058976366,0.3413322064957761,0.30872131038126854
J-minmax-GP,0.5,1.0,0.9166666666666666,0.9583333333333334,0.9916666666666667,13.207856275447874,18.047765869687495,29.825079414290734,0.3325987997441659,0.30681978510084335,0.2736033754615803
J-minmax-GP,0.5,1.5,0.925,0.95,0.9916666666666667,13.285307098798734,17.45318501123355,27.656511466481803,0.30559054192780183,0.28815618656438424,0.25729411650909706
J-minmax-GP,1.5,0.5,0.9416666666666667,0.9833333333333333,1.0,6.142782580351225,8.474702445456224,12.579037320638166,0.3641665681729413,0.3650980732961637,0.3501817703606421
J-minmax-GP,1.5,1.0,0.9416666666666667,0.9833333333333333,1.0,5.881373254312497,7.685346146493966,11.746450785289293,0.3609137056097501,0.34585210440500797,0.339416470164762
J-minmax-GP,1.5,1.5,0.9333333333333333,0.975,1.0,5.7559789529610805,7.193538532629972,11.55303830984963,0.3462106124124639,0.34367616993595135,0.3337200228608025
J-minmax-GP,2.5,0.5,0.9666666666666667,0.9833333333333333,1.0,3.7461209673121685,4.773299356673602,7.607187894525492,0.3967752090688985,0.3904512749910218,0.37405007476136504
J-minmax-GP,2.5,1.0,0.975,0.9916666666666667,1.0,3.59138894712377,4.49476026338456,6.835351197250813,0.3823761158805519,0.3722557170058164,0.36325878393755356
J-minmax-GP,2.5,1.5,0.9833333333333333,0.9916666666666667,1.0,3.6299482638424325,4.4370569853240305,6.450216971618548,0.37055737772963837,0.3671005573969486,0.36233627875958985
