,,,Coverage,Coverage,Coverage,Average width,Average width,Average width,Spearman Correlation,Spearman Correlation,Spearman Correlation
,,,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99
GP,0.5,1.0,0.96,0.97,0.975,5.772000197730547,6.877762447031224,9.038912038002898,0.49051327559489694,0.48638290887907415,0.49147988323612696
GP,1.5,1.0,0.975,0.975,0.975,3.9696483443726662,4.730127750442697,6.21644161077754,0.3926675116017791,0.38864297149403926,0.3867939517679684
GP,2.5,1.0,0.97,0.975,0.975,3.712391431696028,4.423587231968313,5.813579080425134,0.38446971857394147,0.38426775656967704,0.3848935748300176
J+,0.5,1.0,0.845,0.92,0.975,2.8285934875429706,4.378798994696876,8.287942372961163,-0.18151739576084122,-0.13175833551605723,0.10939583801939193
J+,1.5,1.0,0.84,0.9,0.975,2.1078090751443184,2.940640221854295,5.92910134756367,0.0576029296098782,-0.1783817202124675,0.04467892254464165
J+,2.5,1.0,0.85,0.915,0.975,2.0728631181100368,2.9127799862588044,5.6370439154874,0.24839108063476453,-0.06524543287138858,0.04294485493257169
J+GP,0.5,0.5,0.845,0.905,0.975,2.803466506819744,4.1610864881076575,8.048026778038079,0.4821709579586089,0.4782907780200466,0.4913391682049557
J+GP,0.5,1.0,0.84,0.91,0.975,2.7397832898587615,3.9356887535509144,7.505612909081858,0.48481943309786607,0.4755346538747774,0.49405433344753674
J+GP,0.5,1.5,0.835,0.905,0.975,2.659628320419282,3.721923035977016,7.048907552600456,0.4929735606875442,0.4831868271893641,0.5042587336741304
J+GP,1.5,0.5,0.845,0.905,0.975,2.137096241820265,2.879000020465222,5.711698110014613,0.38654780440582925,0.40182502583041574,0.3879516902156449
J+GP,1.5,1.0,0.845,0.915,0.975,2.033011870337306,2.8121124538436795,5.472645732347781,0.3947152812044259,0.3924349632068684,0.3817858095305253
J+GP,1.5,1.5,0.845,0.92,0.975,2.006474040576029,2.762132178163365,5.175996796550471,0.3945382626807027,0.3947587141087743,0.3947648569117477
J+GP,2.5,0.5,0.84,0.915,0.975,2.056740151269844,2.7513164457601187,5.403283132542194,0.39903457166425677,0.39870899616110594,0.3971932680620899
J+GP,2.5,1.0,0.845,0.92,0.975,2.0369199364348063,2.72329160669539,5.1668414472723665,0.3742007168101707,0.38711838998251685,0.38144975509253787
J+GP,2.5,1.5,0.84,0.925,0.975,2.0034594893769104,2.740374826916599,4.468087797888183,0.37955790678475976,0.37672616726436675,0.3975667864345513
J-minmax-GP,0.5,0.5,0.86,0.925,0.975,3.1159227044950546,4.475457305042725,8.354557785062767,0.6740833673165212,0.6602520464417418,0.6208225017743012
J-minmax-GP,0.5,1.0,0.86,0.92,0.975,3.0513664174399455,4.259311769398375,7.813677118265292,0.6451739818281076,0.6225536161689553,0.5794148910301875
J-minmax-GP,0.5,1.5,0.855,0.92,0.975,2.9681434293032054,4.039276969717659,7.339692603884021,0.6229009835302995,0.5943481856170634,0.5708858824992834
J-minmax-GP,1.5,0.5,0.865,0.925,0.975,2.412234291374047,3.150636662742372,5.995097685976844,0.5649025378756085,0.5473771242835532,0.5113556416422872
J-minmax-GP,1.5,1.0,0.855,0.93,0.975,2.3022421487582174,3.084015242265727,5.759979027661809,0.5323868496431595,0.5155027663073646,0.4724251156870878
J-minmax-GP,1.5,1.5,0.855,0.935,0.98,2.2797872870757567,3.029179233458834,5.451563977647834,0.5115836220063134,0.49478327979417797,0.4583923715244284
J-minmax-GP,2.5,0.5,0.855,0.93,0.975,2.315533784829978,3.002508187621642,5.6583863068551725,0.527497423164899,0.5198148621333902,0.49118270789444873
J-minmax-GP,2.5,1.0,0.86,0.935,0.98,2.3010141613053863,2.9860554261128596,5.433300304309828,0.505055891044446,0.49087658288037583,0.4594453131286084
J-minmax-GP,2.5,1.5,0.865,0.945,0.98,2.2649030670834605,3.0117483723285217,4.706278882730702,0.4886292078727889,0.47250217994475424,0.4497251753260177
